Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,1369.53,294.3698,124.6342,Decoy,100,0,0,0,0,False,False,False,32.34375,315.7031
[R] NillE ;-),CounterTerrorist,1369.53,294.3698,124.6342,Decoy,100,0,0,0,0,False,False,False,34.10156,316.7578
[R] NillE ;-),CounterTerrorist,1369.53,294.3698,124.6342,MP7,100,0,0,0,0,False,False,False,36.5625,321.6797
[R] NillE ;-),CounterTerrorist,1370.422,295.2401,124.597,MP7,100,0,29.61071,31.91761,0,False,False,False,53.4375,338.5547
[R] NillE ;-),CounterTerrorist,1372.769,299.0821,124.4545,MP7,100,0,36.87444,85.49207,0,False,False,False,91.75781,354.7266
[R] NillE ;-),CounterTerrorist,1374.113,305.9923,124.1723,MP7,100,0,6.649176,126.9535,0,False,False,False,115.3125,3.164063
[R] NillE ;-),CounterTerrorist,1373.355,314.92,123.5855,MP7,100,0,-25.33725,153.9893,0,False,False,False,116.7187,3.164063
[R] NillE ;-),CounterTerrorist,1370.906,325.2753,122.9979,MP7,100,0,-48.91299,173.8948,0,False,False,False,116.7187,3.164063
[R] NillE ;-),CounterTerrorist,1367.211,336.6822,122.3053,MP7,100,0,-66.27785,188.5563,0,False,False,False,116.7187,3.164063
[R] NillE ;-),CounterTerrorist,1363.71,346.6428,121.7119,MP7,100,0,-48.81737,138.8823,0,False,False,False,119.1797,2.460938
[R] NillE ;-),CounterTerrorist,1361.131,353.9794,121.2748,MP7,100,0,-35.95674,102.2946,0,False,False,False,136.7578,2.460938
[R] NillE ;-),CounterTerrorist,1359.231,359.3832,121.1679,MP7,100,0,-26.48416,75.34573,0,False,False,False,151.875,2.8125
[R] NillE ;-),CounterTerrorist,1357.844,363.3317,121.166,MP7,100,0,-18.93913,53.8806,0,False,False,False,158.9063,2.8125
[R] NillE ;-),CounterTerrorist,1356.922,365.9529,121.1647,MP7,100,0,-11.47785,32.65373,0,False,False,False,159.9609,2.8125
