Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,Terrorist,-407.7055,857.5831,-29.89417,Glock,100,0,116.8655,44.81179,0,False,False,False,355.0781,351.5625
SK.xelos4s ;E,Terrorist,-401.7732,857.4966,-28.41108,Glock,100,0,80.83062,-19.89174,0,False,False,False,354.0234,352.2656
SK.xelos4s ;E,Terrorist,-397.3381,858.0539,-27.30231,Glock,100,0,65.54866,42.30156,0,False,False,False,352.9688,353.3203
SK.xelos4s ;E,Terrorist,-393.5015,862.9711,-26.34315,Glock,100,0,58.9053,104.1482,0,False,False,False,350.8594,352.9688
SK.xelos4s ;E,Terrorist,-389.9703,871.1488,-25.46035,Glock,100,0,54.57868,149.62,0,False,False,False,351.9141,351.2109
SK.xelos4s ;E,Terrorist,-387.0648,879.1469,-24.73399,Glock,100,0,37.69735,88.04407,0,False,False,False,353.3203,350.8594
SK.xelos4s ;E,Terrorist,-385.4604,881.0137,-24.33289,Glock,100,0,14.5035,-11.57822,0,False,False,False,354.7266,350.5078
SK.xelos4s ;E,Terrorist,-384.0873,878.3307,-23.98962,Glock,100,0,39.43934,-63.09978,0,False,False,False,354.7266,350.5078
SK.xelos4s ;E,Terrorist,-380.2436,872.9711,-23.02867,Glock,100,0,79.91216,-96.11115,0,False,False,False,354.7266,350.1563
SK.xelos4s ;E,Terrorist,-373.3231,867.6664,-21.29855,Glock,100,0,132.3962,-76.52506,0,False,False,False,356.4844,350.8594
SK.xelos4s ;E,Terrorist,-364.1518,862.3644,-19.00572,Glock,100,0,152.4913,-99.73296,0,False,False,False,357.1875,350.8594
SK.xelos4s ;E,Terrorist,-354.2728,855.0928,-16.53599,Glock,100,0,161.9753,-128.0059,0,False,False,False,357.1875,350.8594
SK.xelos4s ;E,Terrorist,-343.1984,847.8018,-13.76739,Glock,100,0,190.3652,-103.4026,0,False,False,False,357.1875,350.5078
SK.xelos4s ;E,Terrorist,-330.4579,842.2115,-10.58227,Glock,100,0,210.9741,-84.8064,0,False,False,False,0.703125,350.8594
SK.xelos4s ;E,Terrorist,-315.6874,834.9919,-6.88964,Glock,100,0,209.9545,-114.8347,0,False,False,False,3.867188,350.8594
