Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,1913.554,1765.373,160.0313,Knife,100,0,-229.3882,-99.4035,0,False,False,False,257.6953,0.3515625
PnX | CSGOmall.com,CounterTerrorist,1899.198,1756.464,160.0313,Knife,100,0,-180.9492,-150.2654,0,False,False,False,262.2656,0.3515625
PnX | CSGOmall.com,CounterTerrorist,1890.441,1747.182,160.0313,Knife,100,0,-145.0822,-183.1244,0,False,False,False,266.1328,0.3515625
PnX | CSGOmall.com,CounterTerrorist,1882.703,1734.688,160.0313,Knife,100,0,-108.0512,-211.6955,0,False,False,False,270.3516,0.703125
PnX | CSGOmall.com,CounterTerrorist,1875.143,1721.412,160.0313,Knife,100,0,-132.4281,-211.1069,0,False,False,False,268.5938,0.703125
PnX | CSGOmall.com,CounterTerrorist,1866.27,1708.555,160.0313,Knife,100,0,-148.177,-201.3544,0,False,False,False,268.5938,0.703125
PnX | CSGOmall.com,CounterTerrorist,1856.612,1696.274,160.0313,Knife,100,0,-158.9035,-193.0018,0,False,False,False,268.2422,1.054688
PnX | CSGOmall.com,CounterTerrorist,1846.646,1682.043,160.0313,Knife,100,0,-118.3302,-214.8295,0,False,False,False,277.0313,1.054688
PnX | CSGOmall.com,CounterTerrorist,1841.456,1669.749,160.0313,Knife,100,0,-81.25372,-231.4379,0,False,False,False,284.7656,1.40625
PnX | CSGOmall.com,CounterTerrorist,1835.871,1655.198,160.0313,Knife,100,0,-94.01811,-231.6476,0,False,False,False,286.1719,1.757813
PnX | CSGOmall.com,CounterTerrorist,1829.558,1640.908,160.0313,Knife,100,0,-107.7051,-225.6094,0,False,False,False,277.0313,1.757813
PnX | CSGOmall.com,CounterTerrorist,1823.271,1626.616,160.0313,Knife,100,0,-87.5225,-234.179,0,False,False,False,268.5938,0.3515625
