Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,255.2344,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,255.9375,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,255.9375,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,255.9375,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,255.9375,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,255.9375,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,255.9375,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,255.9375,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,255.9375,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,255.9375,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,255.9375,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,255.9375,7.03125
PnX | CSGOmall.com,CounterTerrorist,2360.397,2005.614,125.8933,Knife,100,95,-16.6228,-65.74357,0,False,True,False,255.9375,7.03125
PnX | CSGOmall.com,CounterTerrorist,2358.831,1999.42,125.4625,Knife,100,95,-31.02823,-122.7174,0,False,True,False,255.9375,7.03125
PnX | CSGOmall.com,CounterTerrorist,2356.5,1990.202,125.1046,Knife,100,95,-41.68919,-164.8817,0,False,True,False,255.9375,7.03125
PnX | CSGOmall.com,CounterTerrorist,2353.606,1978.756,125.1836,Knife,100,95,-49.54161,-195.9382,0,False,True,False,255.9375,7.03125
PnX | CSGOmall.com,CounterTerrorist,2350.298,1965.67,125.2738,Knife,100,95,-55.32535,-218.813,0,False,True,False,255.9375,7.03125
PnX | CSGOmall.com,CounterTerrorist,2347.21,1951.428,125.3222,Knife,100,95,-31.17491,-232.237,0,False,True,False,255.9375,7.03125
PnX | CSGOmall.com,CounterTerrorist,2346.881,1938.589,125.1615,Knife,100,95,11.21258,-236.5248,0,False,True,False,255.9375,7.03125
PnX | CSGOmall.com,CounterTerrorist,2348.043,1921.605,124.7812,Knife,100,95,6.16477,-247.2054,0,False,True,False,255.9375,7.03125
PnX | CSGOmall.com,CounterTerrorist,2347.682,1906.001,124.5238,Knife,100,95,-14.04813,-249.605,0,False,True,False,255.9375,7.03125
PnX | CSGOmall.com,CounterTerrorist,2346.268,1890.442,124.359,Knife,100,95,-28.80863,-248.3346,0,False,True,False,254.8828,5.625
PnX | CSGOmall.com,CounterTerrorist,2344.032,1874.979,124.3899,Knife,100,95,-40.67796,-246.6684,0,False,True,False,254.1797,4.921875
PnX | CSGOmall.com,CounterTerrorist,2341.409,1859.603,124.9426,Knife,100,95,-31.63845,-245.9458,0,False,True,False,256.6406,4.570313
PnX | CSGOmall.com,CounterTerrorist,2341.308,1844.268,125.7982,Knife,100,95,20.49114,-244.2488,0,False,True,False,262.2656,5.273438
PnX | CSGOmall.com,CounterTerrorist,2343.307,1828.927,126.9417,Knife,100,95,28.03015,-248.4236,0,False,True,False,267.1875,5.273438
