Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,1078.656,-156.0833,256.0313,AK47,100,100,-50.28379,-26.10432,0,False,True,False,274.2188,359.6484
PnX | CSGOmall.com,Terrorist,1074.473,-159.2631,256.0313,AK47,100,100,-79.39238,-68.61157,0,False,True,False,273.8672,0
PnX | CSGOmall.com,Terrorist,1067.864,-165.5215,256.0313,AK47,100,100,-104.4048,-103.5471,0,False,True,False,273.8672,0
PnX | CSGOmall.com,Terrorist,1063.56,-172.062,256.0313,AK47,100,100,-51.62001,-125.9493,0,False,True,False,273.8672,0
PnX | CSGOmall.com,Terrorist,1062.655,-180.3183,256.0313,AK47,100,100,11.43924,-136.5874,0,False,True,False,272.4609,0.3515625
PnX | CSGOmall.com,Terrorist,1064.57,-188.0719,256.0313,AK47,100,100,50.86246,-145.6735,0,False,True,False,269.6484,0.703125
PnX | CSGOmall.com,Terrorist,1067.845,-197.3127,256.0313,AK47,100,100,35.27418,-106.0895,0,False,True,False,267.8906,0.3515625
PnX | CSGOmall.com,Terrorist,1069.73,-204.9385,256.0313,AK47,100,100,20.77774,-109.8523,0,False,True,False,266.8359,0.3515625
PnX | CSGOmall.com,Terrorist,1071.109,-210.9909,256.0313,AK47,100,100,36.25998,-114.8256,0,False,True,False,264.7266,0.3515625
PnX | CSGOmall.com,Terrorist,1073.994,-217.8993,256.0313,AK47,100,100,63.55891,-134.5969,0,False,True,False,260.8594,0.3515625
PnX | CSGOmall.com,Terrorist,1080.031,-229.4954,256.0313,AK47,100,100,86.09225,-159.0639,0,False,True,False,255.5859,0.3515625
PnX | CSGOmall.com,Terrorist,1085.368,-238.2105,256.0313,AK47,100,100,111.8463,-151.329,0,False,True,False,254.5313,359.6484
PnX | CSGOmall.com,Terrorist,1093.612,-246.8623,256.0313,AK47,100,100,145.9363,-129.5522,0,False,True,False,253.4766,359.2969
PnX | CSGOmall.com,Terrorist,1099.938,-250.1223,256.0313,AK47,100,100,58.42879,11.11087,0,False,True,False,251.3672,358.9453
PnX | CSGOmall.com,Terrorist,1101.141,-249.1721,256.0313,AK47,100,100,6.560882,10.07569,0,False,True,False,249.6094,358.5938
PnX | CSGOmall.com,Terrorist,1103.326,-249.6172,256.0313,AK47,100,100,56.08013,-17.0927,0,False,True,False,248.5547,358.9453
PnX | CSGOmall.com,Terrorist,1109.288,-250.4441,256.0313,AK47,100,100,105.2199,-8.743312,0,False,True,False,240.8203,0.3515625
PnX | CSGOmall.com,Terrorist,1115.816,-251.9318,256.0313,AK47,100,100,127.8798,-41.48449,0,False,True,False,228.1641,1.054688
PnX | CSGOmall.com,Terrorist,1123.175,-256.247,256.0313,AK47,100,100,100.3071,-91.93778,0,False,True,False,217.6172,1.40625
PnX | CSGOmall.com,Terrorist,1128.484,-264.5587,256.0313,AK47,100,100,56.46289,-136.6617,0,False,True,False,210.5859,2.109375
PnX | CSGOmall.com,Terrorist,1131.257,-274.069,256.0313,AK47,100,100,46.77798,-162.4391,0,False,True,False,201.7969,2.460938
PnX | CSGOmall.com,Terrorist,1133.907,-275.9688,256.0313,AK47,100,100,44.2514,0,0,False,True,False,194.7656,2.8125
PnX | CSGOmall.com,Terrorist,1135.489,-273.7369,256.0313,AK47,100,100,14.79241,60.13405,0,False,True,False,187.7344,3.515625
PnX | CSGOmall.com,Terrorist,1135.98,-268.1807,256.0313,AK47,100,100,0.4145771,109.6531,0,False,True,False,177.5391,5.976563
PnX | CSGOmall.com,Terrorist,1134.956,-260.3048,256.0313,AK47,100,100,-30.62194,137.5341,0,False,True,False,161.7188,9.492188
PnX | CSGOmall.com,Terrorist,1131.462,-250.0225,256.0313,AK47,100,100,-72.14364,144.1338,0,False,True,False,152.5781,13.71094
PnX | CSGOmall.com,Terrorist,1125.383,-242.274,256.0313,AK47,100,100,-115.5184,99.73768,0,False,True,False,152.5781,13.71094
PnX | CSGOmall.com,Terrorist,1116.969,-237.7427,256.0313,AK47,100,100,-148.0414,53.38183,0,False,True,False,152.5781,13.71094
PnX | CSGOmall.com,Terrorist,1108.186,-235.8266,256.0313,AK47,100,100,-168.8202,21.4353,0,False,True,False,159.2578,13.00781
PnX | CSGOmall.com,Terrorist,1095.701,-234.4176,256.0313,AK47,100,100,-183.4066,32.87162,0,False,True,False,202.8516,12.30469
PnX | CSGOmall.com,Terrorist,1087.107,-232.1529,256.0313,AK47,100,100,-182.8237,60.17236,0,False,True,False,229.9219,10.89844
PnX | CSGOmall.com,Terrorist,1072.289,-226.607,256.0313,AK47,100,100,-196.4757,75.01257,0,False,True,False,250.6641,8.4375
PnX | CSGOmall.com,Terrorist,1061.91,-222.6444,256.0313,AK47,100,100,-144.7154,55.25098,0,False,True,False,251.7188,8.4375
PnX | CSGOmall.com,Terrorist,1054.49,-219.8241,256.0313,AK47,100,100,-109.623,40.89656,0,False,True,False,252.0703,8.4375
PnX | CSGOmall.com,Terrorist,1046.38,-216.9497,256.0313,AK47,100,100,-143.9662,49.34105,0,False,True,False,253.4766,8.085938
