Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1533.336,509.5131,-63.96875,Smoke,100,80,-178.0594,-6.898159,0,False,True,False,185.9766,3.515625
PnX | CSGOmall.com,Terrorist,-1545.491,508.8549,-63.96875,Smoke,100,80,-206.005,-13.26409,0,False,True,False,186.6797,4.570313
PnX | CSGOmall.com,Terrorist,-1559.113,507.7757,-63.96875,Smoke,100,80,-226.2315,-20.68785,0,False,True,False,189.4922,5.976563
PnX | CSGOmall.com,Terrorist,-1573.789,506.2177,-63.96875,Smoke,100,80,-240.863,-27.88779,0,False,True,False,189.4922,6.328125
PnX | CSGOmall.com,Terrorist,-1588.977,504.324,-63.96875,Smoke,100,80,-242.9371,-31.72626,0,False,True,False,189.4922,6.328125
PnX | CSGOmall.com,Terrorist,-1604.148,502.2499,-63.96876,Smoke,100,80,-242.6007,-34.20382,0,False,True,False,189.4922,6.328125
PnX | CSGOmall.com,Terrorist,-1619.301,500.0458,-63.96877,Smoke,100,80,-242.3394,-36.00864,0,False,True,False,189.4922,6.328125
PnX | CSGOmall.com,Terrorist,-1634.466,498.9867,-63.96877,Smoke,100,80,-244.5118,-6.95447,0,False,True,False,189.4922,6.328125
PnX | CSGOmall.com,Terrorist,-1649.755,498.1744,-63.96877,Smoke,100,80,-244.4007,-17.12673,0,False,True,False,189.4922,6.328125
PnX | CSGOmall.com,Terrorist,-1665.01,496.8511,-63.96877,Smoke,100,80,-243.8259,-23.95705,0,False,True,False,189.8437,6.328125
PnX | CSGOmall.com,Terrorist,-1680.214,495.0403,-63.96877,Smoke,100,80,-242.5212,-34.76276,0,False,True,False,199.6875,6.679688
PnX | CSGOmall.com,Terrorist,-1695.344,492.6997,-63.96877,Smoke,100,80,-242.7672,-33.00132,0,False,True,False,230.625,6.679688
PnX | CSGOmall.com,Terrorist,-1710.605,491.8943,-63.96879,Smoke,100,80,-244.8676,-8.053927,0,False,True,False,277.0313,4.570313
PnX | CSGOmall.com,Terrorist,-1725.877,490.8053,-63.96879,Smoke,100,80,-244.2325,-19.37702,0,False,True,False,323.7891,356.8359
PnX | CSGOmall.com,Terrorist,-1741.162,490.0204,-63.96879,Smoke,100,80,-244.9928,-1.871457,0,False,True,False,347.6953,348.3984
PnX | CSGOmall.com,Terrorist,-1756.467,490.4488,-63.96879,Smoke,100,80,-244.6634,12.83899,0,False,True,False,349.1016,347.6953
PnX | CSGOmall.com,Terrorist,-1771.732,491.6306,-63.96879,Smoke,100,80,-243.9118,23.06599,0,False,True,False,349.1016,347.6953
PnX | CSGOmall.com,Terrorist,-1786.95,493.3304,-47.96875,Smoke,100,80,-243.1314,30.20156,0,False,True,False,348.3984,347.6953
PnX | CSGOmall.com,Terrorist,-1801.642,496.7105,-47.96875,Smoke,100,80,-226.6326,76.65549,0,False,True,False,351.9141,346.9922
PnX | CSGOmall.com,Terrorist,-1801.957,502.9532,-47.96875,Smoke,100,80,1.005332,119.1735,0,False,True,False,357.5391,344.8828
PnX | CSGOmall.com,Terrorist,-1801.867,508.9688,-47.96875,Smoke,100,80,0.1050723,0,0,False,True,False,359.2969,343.4766
PnX | CSGOmall.com,Terrorist,-1801.969,508.9688,-47.96875,Smoke,100,80,0,0,0,False,True,False,359.2969,343.4766
